T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Appliances
20.2,37.5,17.823333333333302,39.3,20.29,36.56,18.2,37.29,17.926666666666698,47.633333333333304,2.93,67.6666666666667,18.463333333333296,29.39,21.39,35.6633333333333,18.1,35.5,2.8,744.0,86.6666666666667,2.66666666666667,28.0,0.766666666666667,70
20.0,42.7,19.1,42.4666666666667,20.79,44.5,17.79,43.79,17.5944444444444,54.4,4.1233333333333295,99.56,17.0833333333333,40.003333333333295,19.79,53.45,16.89,50.0,4.633333333333329,754.233333333333,94.3333333333333,4.0,26.0,3.8,40
20.6,36.8333333333333,17.5,40.223333333333294,21.6,34.8633333333333,20.39,35.363333333333294,19.29,47.993333333333304,2.32666666666667,55.4233333333333,19.5,30.2,21.566666666666695,38.4666666666667,19.2,37.6333333333333,3.03333333333333,750.6666666666669,94.6666666666667,3.16666666666667,60.8333333333333,2.2,70
22.39,39.09,19.89,41.0,24.89,37.045,22.29,35.6528571428571,20.815,53.6175,7.09,55.4,21.5,32.9,23.29,46.4,20.5,40.4666666666667,7.26666666666667,756.85,88.3333333333333,4.0,30.0,5.46666666666667,60
20.2,40.52666666666669,18.39,41.363333333333294,21.0,39.7,20.823333333333295,39.5,17.8788888888889,49.9888888888889,3.36333333333333,92.5,18.89,37.23,20.79,43.9833333333333,18.1333333333333,42.433333333333294,2.7,736.2999999999998,95.0,2.0,36.0,2.0,110
24.7763636363636,48.1477272727273,24.654954954955002,45.163723723723706,26.6422727272727,42.7863636363636,24.082882882882895,46.0985585585586,23.021171171171197,51.9394369369369,23.705765765765797,13.003333333333298,23.99774774774769,43.00799549549551,24.2795454545455,50.1318181818182,23.1431818181818,47.5363636363636,18.85,752.95,74.0,2.0,40.0,14.1,90
21.2,38.29,18.533333333333296,42.2966666666667,22.7,38.23,19.89,38.9,19.79,47.5,8.6225,43.725,21.29,38.5,22.89,44.09,20.29,43.2,8.349999999999998,740.6666666666669,73.0,13.0,40.0,3.7333333333333294,50
20.6,34.7,17.033333333333303,39.56,21.2,34.53,19.6,32.1266666666667,18.9175,42.3225,0.733333333333333,63.63,20.0,26.29,21.29,35.995,19.463333333333296,36.933333333333294,0.75,766.0,87.8333333333333,2.0,61.8333333333333,-1.11666666666667,50
22.39,41.5,21.2,38.6333333333333,22.39,37.09,22.1142857142857,37.0,21.23,78.8933333333333,12.063333333333299,3.0933333333333306,21.2,29.0,22.033333333333296,39.4,20.1,35.02666666666669,12.083333333333302,765.733333333333,51.6666666666667,4.0,40.0,2.31666666666667,110
20.7,35.0,18.79,35.70000000000001,20.73,36.4,19.1333333333333,33.4,17.7,51.554,0.2,56.66666666666669,19.6,33.29,21.7,40.43,18.033333333333296,39.79,0.633333333333333,754.1,74.0,5.0,23.0,-3.56666666666667,50
21.5,39.2,18.963333333333296,42.59,22.6,38.29,20.79,38.4,19.963333333333296,48.0,6.72666666666667,51.8,21.29,37.2,21.89,40.1266666666667,20.6,42.29,5.9,754.0,91.6666666666667,3.0,32.0,4.66666666666667,40
20.1666666666667,41.1633333333333,18.29,42.06,20.2,41.09,18.79,40.29,18.29,61.6572222222222,2.5,91.9,19.39,38.76111111111109,21.715,46.215,17.79,43.59,2.4833333333333294,749.85,93.0,6.0,38.16666666666669,1.38333333333333,50
20.76,35.9,19.0,36.4666666666667,20.1,37.7771428571429,18.5,36.5,17.1,45.378,1.29,81.26333333333329,17.5,31.6,20.1,43.478,17.5,39.5,0.366666666666667,758.4333333333329,99.0,1.33333333333333,17.3333333333333,0.233333333333333,40
21.7,38.59,19.2,40.1266666666667,22.066666666666695,37.26,21.79,35.59000000000001,20.26,51.0266666666667,5.366666666666669,39.16,20.6,31.2,22.033333333333296,43.73,20.0,38.76,6.0,767.4,83.0,3.0,40.0,3.3,50
21.1333333333333,46.826666666666696,19.89,46.9666666666667,22.1,42.79,20.2,44.79,18.5,54.0,10.69,88.39,18.5,43.595,20.566666666666695,48.4,18.7,46.9,10.3333333333333,750.966666666667,95.3333333333333,6.0,50.5,9.58333333333333,30
23.0,45.1,22.426666666666698,41.06666666666669,22.6,43.9333333333333,19.29,41.8333333333333,19.4694444444444,50.953888888888905,2.4,92.3,20.396111111111104,40.1811111111111,23.3011111111111,43.62,19.0,41.86,3.2,737.5,93.0,6.0,40.0,2.1,140
21.6666666666667,41.9666666666667,19.1666666666667,43.9333333333333,22.79,39.56,21.29,39.59,20.7,56.96,6.475,44.14,21.0,36.564285714285695,22.79,37.7,20.5,39.52666666666669,7.8333333333333295,751.6666666666669,75.3333333333333,7.0,32.66666666666669,3.6333333333333298,50
20.79,43.39,19.963333333333296,42.4666666666667,21.6,43.0,20.856666666666698,42.9,18.6555555555556,55.1855555555556,4.263333333333329,95.73,18.29,37.715,20.9694444444444,46.3311111111111,18.323333333333295,47.1633333333333,4.0833333333333295,762.45,95.1666666666667,6.3333333333333295,61.8333333333333,3.4,60
21.79,39.7,20.89,38.56,21.39,42.5,20.39,41.7,18.39,53.79,1.03333333333333,96.3333333333333,19.6,40.59,21.1,48.1633333333333,17.79,44.2233333333333,0.8,764.7,94.6666666666667,3.33333333333333,24.0,0.03333333333333329,50
21.79,37.29,20.39,37.8266666666667,21.1,37.863333333333294,20.1,37.2666666666667,19.463333333333296,61.8633333333333,0.5666666666666669,80.76,19.934,32.59,22.29,38.29,18.157142857142897,36.4571428571429,1.3,755.7999999999998,85.0,1.0,28.0,-0.9,110
22.6,38.1633333333333,24.856666666666698,32.29,23.2,37.59,22.89,37.09,20.76,41.53,14.2633333333333,1.0,21.06,33.71,22.23,39.59,20.3328571428571,39.9428571428571,12.3,764.0666666666668,52.6666666666667,4.16666666666667,40.0,2.86666666666667,50
